day_week,fecha,Sales,Customers,is_open,Promo,SchoolHoliday,StateHoliday_0,StateHoliday_a,StateHoliday_b,StateHoliday_c,Year,day_year,day_month,is_weekend,month
1,2013-01-01,0.0,0.0,0,0,1,1,1,0,0,2013,1,1,0,0
2,2013-01-02,6089.0,781.0,1,0,1,0,0,0,0,2013,2,2,0,0
3,2013-01-03,5398.0,689.0,1,0,0,0,0,0,0,2013,3,3,0,0
4,2013-01-04,6092.0,724.0,1,0,0,0,0,0,0,2013,4,4,0,0
5,2013-01-05,3872.0,467.0,1,0,0,0,0,0,0,2013,5,5,1,0
6,2013-01-06,0.0,0.0,0,0,0,0,0,0,0,2013,6,6,1,0
0,2013-01-07,8591.0,947.0,1,1,0,0,0,0,0,2013,7,7,0,0
1,2013-01-08,7099.0,774.0,1,1,0,0,0,0,0,2013,8,8,0,0
2,2013-01-09,6749.0,834.0,1,1,0,0,0,0,0,2013,9,9,0,0
3,2013-01-10,6282.0,737.0,1,1,0,0,0,0,0,2013,10,10,0,0
4,2013-01-11,6829.0,766.0,1,1,0,0,0,0,0,2013,11,11,0,0
5,2013-01-12,3829.0,432.0,1,0,0,0,0,0,0,2013,12,12,1,0
6,2013-01-13,0.0,0.0,0,0,0,0,0,0,0,2013,13,13,1,0
0,2013-01-14,5908.0,759.0,1,0,0,0,0,0,0,2013,14,14,0,0
1,2013-01-15,5861.0,759.0,1,0,0,0,0,0,0,2013,15,15,0,0
2,2013-01-16,4454.0,614.0,1,0,0,0,0,0,0,2013,16,16,0,0
3,2013-01-17,5235.0,665.0,1,0,0,0,0,0,0,2013,17,17,0,0
4,2013-01-18,5553.0,673.0,1,0,0,0,0,0,0,2013,18,18,0,0
5,2013-01-19,3702.0,417.0,1,0,0,0,0,0,0,2013,19,19,1,0
6,2013-01-20,0.0,0.0,0,0,0,0,0,0,0,2013,20,20,1,0
0,2013-01-21,6764.0,791.0,1,1,0,0,0,0,0,2013,21,21,0,0
1,2013-01-22,7066.0,798.0,1,1,0,0,0,0,0,2013,22,22,0,0
2,2013-01-23,7343.0,801.0,1,1,0,0,0,0,0,2013,23,23,0,0
3,2013-01-24,5844.0,678.0,1,1,0,0,0,0,0,2013,24,24,0,0
4,2013-01-25,6433.0,746.0,1,1,0,0,0,0,0,2013,25,25,0,0
5,2013-01-26,3443.0,388.0,1,0,0,0,0,0,0,2013,26,26,1,0
6,2013-01-27,0.0,0.0,0,0,0,0,0,0,0,2013,27,27,1,0
0,2013-01-28,6209.0,772.0,1,0,0,0,0,0,0,2013,28,28,0,0
1,2013-01-29,5411.0,641.0,1,0,0,0,0,0,0,2013,29,29,0,0
2,2013-01-30,5751.0,708.0,1,0,0,0,0,0,0,2013,30,30,0,0
3,2013-01-31,6458.0,755.0,1,0,0,0,0,0,0,2013,31,31,0,0
4,2013-02-01,6601.0,786.0,1,0,0,0,0,0,0,2013,32,1,0,1
5,2013-02-02,3927.0,425.0,1,0,0,0,0,0,0,2013,33,2,1,1
6,2013-02-03,0.0,0.0,0,0,0,0,0,0,0,2013,34,3,1,1
0,2013-02-04,7954.0,898.0,1,1,1,0,0,0,0,2013,35,4,0,1
1,2013-02-05,7334.0,804.0,1,1,1,0,0,0,0,2013,36,5,0,1
2,2013-02-06,6871.0,760.0,1,1,1,0,0,0,0,2013,37,6,0,1
3,2013-02-07,6193.0,716.0,1,1,1,0,0,0,0,2013,38,7,0,1
4,2013-02-08,6623.0,716.0,1,1,1,0,0,0,0,2013,39,8,0,1
5,2013-02-09,3851.0,438.0,1,0,0,0,0,0,0,2013,40,9,1,1
6,2013-02-10,0.0,0.0,0,0,0,0,0,0,0,2013,41,10,1,1
0,2013-02-11,5695.0,734.0,1,0,1,0,0,0,0,2013,42,11,0,1
1,2013-02-12,5119.0,650.0,1,0,1,0,0,0,0,2013,43,12,0,1
2,2013-02-13,4804.0,630.0,1,0,1,0,0,0,0,2013,44,13,0,1
3,2013-02-14,5056.0,645.0,1,0,1,0,0,0,0,2013,45,14,0,1
4,2013-02-15,5215.0,675.0,1,0,1,0,0,0,0,2013,46,15,0,1
5,2013-02-16,3779.0,446.0,1,0,0,0,0,0,0,2013,47,16,1,1
6,2013-02-17,0.0,0.0,0,0,0,0,0,0,0,2013,48,17,1,1
0,2013-02-18,8262.0,873.0,1,1,0,0,0,0,0,2013,49,18,0,1
1,2013-02-19,6450.0,746.0,1,1,0,0,0,0,0,2013,50,19,0,1
2,2013-02-20,6535.0,741.0,1,1,0,0,0,0,0,2013,51,20,0,1
3,2013-02-21,6252.0,697.0,1,1,0,0,0,0,0,2013,52,21,0,1
4,2013-02-22,6796.0,741.0,1,1,0,0,0,0,0,2013,53,22,0,1
5,2013-02-23,3403.0,378.0,1,0,0,0,0,0,0,2013,54,23,1,1
6,2013-02-24,0.0,0.0,0,0,0,0,0,0,0,2013,55,24,1,1
0,2013-02-25,5660.0,773.0,1,0,0,0,0,0,0,2013,56,25,0,1
1,2013-02-26,5471.0,718.0,1,0,0,0,0,0,0,2013,57,26,0,1
2,2013-02-27,5280.0,684.0,1,0,0,0,0,0,0,2013,58,27,0,1
3,2013-02-28,6524.0,769.0,1,0,0,0,0,0,0,2013,59,28,0,1
4,2013-03-01,6755.0,759.0,1,0,0,0,0,0,0,2013,60,1,0,2
5,2013-03-02,4257.0,462.0,1,0,0,0,0,0,0,2013,61,2,1,2
6,2013-03-03,0.0,0.0,0,0,0,0,0,0,0,2013,62,3,1,2
0,2013-03-04,8596.0,996.0,1,1,0,0,0,0,0,2013,63,4,0,2
1,2013-03-05,8057.0,887.0,1,1,0,0,0,0,0,2013,64,5,0,2
2,2013-03-06,7243.0,812.0,1,1,0,0,0,0,0,2013,65,6,0,2
3,2013-03-07,6867.0,799.0,1,1,0,0,0,0,0,2013,66,7,0,2
4,2013-03-08,6630.0,764.0,1,1,0,0,0,0,0,2013,67,8,0,2
5,2013-03-09,3450.0,412.0,1,0,0,0,0,0,0,2013,68,9,1,2
6,2013-03-10,0.0,0.0,0,0,0,0,0,0,0,2013,69,10,1,2
0,2013-03-11,5680.0,724.0,1,0,0,0,0,0,0,2013,70,11,0,2
1,2013-03-12,5579.0,646.0,1,0,0,0,0,0,0,2013,71,12,0,2
2,2013-03-13,5129.0,654.0,1,0,0,0,0,0,0,2013,72,13,0,2
3,2013-03-14,5697.0,697.0,1,0,0,0,0,0,0,2013,73,14,0,2
4,2013-03-15,5838.0,721.0,1,0,0,0,0,0,0,2013,74,15,0,2
5,2013-03-16,3750.0,434.0,1,0,0,0,0,0,0,2013,75,16,1,2
6,2013-03-17,0.0,0.0,0,0,0,0,0,0,0,2013,76,17,1,2
0,2013-03-18,7907.0,920.0,1,1,0,0,0,0,0,2013,77,18,0,2
1,2013-03-19,6603.0,768.0,1,1,0,0,0,0,0,2013,78,19,0,2
2,2013-03-20,7506.0,840.0,1,1,0,0,0,0,0,2013,79,20,0,2
3,2013-03-21,6335.0,727.0,1,1,0,0,0,0,0,2013,80,21,0,2
4,2013-03-22,6745.0,758.0,1,1,0,0,0,0,0,2013,81,22,0,2
5,2013-03-23,3582.0,407.0,1,0,0,0,0,0,0,2013,82,23,1,2
6,2013-03-24,0.0,0.0,0,0,0,0,0,0,0,2013,83,24,1,2
0,2013-03-25,8285.0,907.0,1,1,0,0,0,0,0,2013,84,25,0,2
1,2013-03-26,8286.0,898.0,1,1,0,0,0,0,0,2013,85,26,0,2
2,2013-03-27,8296.0,921.0,1,1,0,0,0,0,0,2013,86,27,0,2
3,2013-03-28,10228.0,1096.0,1,1,0,0,0,0,0,2013,87,28,0,2
4,2013-03-29,0.0,0.0,0,1,1,1,0,1,0,2013,88,29,0,2
5,2013-03-30,5249.0,610.0,1,0,0,0,0,0,0,2013,89,30,1,2
6,2013-03-31,0.0,0.0,0,0,0,0,0,0,0,2013,90,31,1,2
0,2013-04-01,0.0,0.0,0,0,1,1,0,1,0,2013,91,1,0,3
1,2013-04-02,7028.0,854.0,1,0,1,0,0,0,0,2013,92,2,0,3
2,2013-04-03,6066.0,757.0,1,0,1,0,0,0,0,2013,93,3,0,3
3,2013-04-04,5359.0,687.0,1,0,1,0,0,0,0,2013,94,4,0,3
4,2013-04-05,5798.0,730.0,1,0,1,0,0,0,0,2013,95,5,0,3
5,2013-04-06,3297.0,415.0,1,0,0,0,0,0,0,2013,96,6,1,3
6,2013-04-07,0.0,0.0,0,0,0,0,0,0,0,2013,97,7,1,3
0,2013-04-08,7883.0,900.0,1,1,0,0,0,0,0,2013,98,8,0,3
1,2013-04-09,7676.0,849.0,1,1,0,0,0,0,0,2013,99,9,0,3
2,2013-04-10,6645.0,763.0,1,1,0,0,0,0,0,2013,100,10,0,3
3,2013-04-11,6389.0,759.0,1,1,0,0,0,0,0,2013,101,11,0,3
4,2013-04-12,6520.0,759.0,1,1,0,0,0,0,0,2013,102,12,0,3
5,2013-04-13,3121.0,389.0,1,0,0,0,0,0,0,2013,103,13,1,3
6,2013-04-14,0.0,0.0,0,0,0,0,0,0,0,2013,104,14,1,3
0,2013-04-15,5683.0,748.0,1,0,0,0,0,0,0,2013,105,15,0,3
1,2013-04-16,5641.0,727.0,1,0,0,0,0,0,0,2013,106,16,0,3
2,2013-04-17,5758.0,728.0,1,0,0,0,0,0,0,2013,107,17,0,3
3,2013-04-18,5156.0,700.0,1,0,0,0,0,0,0,2013,108,18,0,3
4,2013-04-19,5872.0,774.0,1,0,0,0,0,0,0,2013,109,19,0,3
5,2013-04-20,4166.0,452.0,1,0,0,0,0,0,0,2013,110,20,1,3
6,2013-04-21,0.0,0.0,0,0,0,0,0,0,0,2013,111,21,1,3
0,2013-04-22,8100.0,935.0,1,1,0,0,0,0,0,2013,112,22,0,3
1,2013-04-23,7543.0,855.0,1,1,0,0,0,0,0,2013,113,23,0,3
2,2013-04-24,6514.0,774.0,1,1,0,0,0,0,0,2013,114,24,0,3
3,2013-04-25,6212.0,748.0,1,1,0,0,0,0,0,2013,115,25,0,3
4,2013-04-26,6598.0,772.0,1,1,0,0,0,0,0,2013,116,26,0,3
5,2013-04-27,3346.0,394.0,1,0,0,0,0,0,0,2013,117,27,1,3
6,2013-04-28,0.0,0.0,0,0,0,0,0,0,0,2013,118,28,1,3
0,2013-04-29,8088.0,930.0,1,1,0,0,0,0,0,2013,119,29,0,3
1,2013-04-30,9810.0,1023.0,1,1,0,0,0,0,0,2013,120,30,0,3
2,2013-05-01,0.0,0.0,0,1,0,1,1,0,0,2013,121,1,0,4
3,2013-05-02,8943.0,988.0,1,1,0,0,0,0,0,2013,122,2,0,4
4,2013-05-03,8164.0,918.0,1,1,0,0,0,0,0,2013,123,3,0,4
5,2013-05-04,3620.0,430.0,1,0,0,0,0,0,0,2013,124,4,1,4
6,2013-05-05,0.0,0.0,0,0,0,0,0,0,0,2013,125,5,1,4
0,2013-05-06,5918.0,774.0,1,0,0,0,0,0,0,2013,126,6,0,4
1,2013-05-07,6581.0,810.0,1,0,0,0,0,0,0,2013,127,7,0,4
2,2013-05-08,7143.0,897.0,1,0,0,0,0,0,0,2013,128,8,0,4
3,2013-05-09,0.0,0.0,0,0,0,1,1,0,0,2013,129,9,0,4
4,2013-05-10,6355.0,719.0,1,0,1,0,0,0,0,2013,130,10,0,4
5,2013-05-11,4094.0,467.0,1,0,0,0,0,0,0,2013,131,11,1,4
6,2013-05-12,0.0,0.0,0,0,0,0,0,0,0,2013,132,12,1,4
0,2013-05-13,8389.0,979.0,1,1,0,0,0,0,0,2013,133,13,0,4
1,2013-05-14,7179.0,849.0,1,1,0,0,0,0,0,2013,134,14,0,4
2,2013-05-15,7219.0,834.0,1,1,0,0,0,0,0,2013,135,15,0,4
3,2013-05-16,6902.0,792.0,1,1,0,0,0,0,0,2013,136,16,0,4
4,2013-05-17,7346.0,838.0,1,1,0,0,0,0,0,2013,137,17,0,4
