DayOfWeek,Date,Sales,Open,Promo,SchoolHoliday,StateHoliday_0,StateHoliday_a,StateHoliday_b,StateHoliday_c,dow_sin,dow_cos,Year_Normalized,day_year,day_year_sin,day_year_cos,is_weekend
2,2013-01-01,4220.0,1,0,1,1,1,0,0,0.9749279121818236,-0.22252093395631434,0.0,1,0.017201575418260506,0.9998520419557735,0
3,2013-01-02,6069.0,1,0,1,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,2,0.03439806061360801,0.9994082116062598,0
4,2013-01-03,5246.0,1,0,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,3,0.051584366869408364,0.9986686402879997,0
5,2013-01-04,5339.0,1,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,4,0.06875540848113941,0.9976335468520451,0
6,2013-01-05,5774.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,5,0.08590610426133272,0.9963032375991965,1
7,2013-01-06,10509.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,6,0.10303137904317879,0.9946781061893646,1
1,2013-01-07,8990.0,1,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,7,0.1201261651823505,0.9927586335250793,0
2,2013-01-08,7300.0,1,1,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,8,0.13718540405660057,0.9905453876091833,0
3,2013-01-09,6523.0,1,1,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,9,0.1542040475626894,0.988039023376751,0
4,2013-01-10,7434.0,1,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,10,0.17117705961019986,0.985240282501282,0
5,2013-01-11,7132.0,1,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,11,0.18809941761179758,0.9821499931752291,0
6,2013-01-12,5198.0,1,0,0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,12,0.20496611396949532,0.9787690698649216,1
7,2013-01-13,10584.0,1,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.0,13,0.22177215755648186,0.975098513039961,1
1,2013-01-14,5616.0,1,0,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,14,0.23851257519407648,0.9711394088771653,0
2,2013-01-15,5580.0,1,0,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.0,15,0.2551824131233728,0.9668929289391521,0
3,2013-01-16,5025.0,1,0,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.0,16,0.2717767384711357,0.9623603298276545,0
4,2013-01-17,4973.0,1,0,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,17,0.2882906407095177,0.9575429528116719,0
5,2013-01-18,5579.0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,18,0.3047192331091634,0.9524422234305676,0
